,steel_design_description,YieldStrength,TensileStrength,TotalElongation
54732,20SS55 575075,62.5,83.3,23.81
54809,20SS55 575075,65.8,88.4,18.4
54945,20SS55 575075,66.7,88.6,22.24
54967,20SS55 575075,57.9,84.0,27.7
54974,20SS55 575075,66.8,87.8,19.43
57556,20SS55 575075,68.1,94.8,23.64
57570,20SS55 575075,73.0,92.2,20.44
58696,20SS55 575075,67.3,90.5,17.55
61368,20SS55 575075,74.9,94.9,14.58
61472,20SS55 575075,65.8,86.8,21.52
52060,20SS55 575125,64.8,85.7,21.69
58700,20SS55 575125,63.2,85.1,24.09
61450,20SS55 575125,73.4,88.7,13.67
1291,20SS55 600050,66.1,86.0,20.92
1294,20SS55 600050,65.5,85.7,21.63
1302,20SS55 600050,61.0,86.4,22.05
17590,20SS55 600050,68.0,87.5,19.17
17591,20SS55 600050,66.2,85.5,22.75
17598,20SS55 600050,67.8,85.7,16.46
17599,20SS55 600050,62.7,83.2,18.38
17605,20SS55 600050,61.8,81.3,18.95
17607,20SS55 600050,70.1,89.1,15.73
17608,20SS55 600050,66.5,84.2,21.37
17641,20SS55 600050,67.0,87.8,17.95
17647,20SS55 600050,73.4,92.5,14.91
17649,20SS55 600050,84.0,100.0,11.51
17650,20SS55 600050,68.8,88.9,20.03
17658,20SS55 600050,68.0,86.2,22.6
17663,20SS55 600050,67.1,86.6,21.8
17665,20SS55 600050,70.8,89.2,16.41
17667,20SS55 600050,76.1,94.7,13.63
17668,20SS55 600050,77.7,97.2,12.4
17674,20SS55 600050,74.1,91.9,12.44
17677,20SS55 600050,69.6,87.1,19.1
17679,20SS55 600050,66.0,84.6,20.97
20440,20SS55 600050,68.2,84.3,20.74
20443,20SS55 600050,69.4,85.7,20.13
20452,20SS55 600050,75.7,94.6,21.95
20457,20SS55 600050,71.0,91.9,17.82
21143,20SS55 600050,72.6,88.9,19.69
21144,20SS55 600050,70.1,88.8,18.5
21147,20SS55 600050,64.5,86.0,21.48
21148,20SS55 600050,69.9,89.6,20.28
21153,20SS55 600050,67.7,85.7,21.1
23970,20SS55 600050,72.0,88.3,20.27
23971,20SS55 600050,63.8,73.7,24.0
25676,20SS55 600050,71.6,89.9,18.6
26468,20SS55 600050,72.7,92.1,17.86
32725,20SS55 600050,77.5,96.4,14.9
34676,20SS55 625075,65.3,85.3,22.25
34679,20SS55 625075,61.9,83.6,21.51
43120,20SS55 625075,63.9,83.0,20.43
44153,20SS55 625075,66.0,87.8,20.95
44156,20SS55 625075,66.1,88.6,20.57
45672,20SS55 625075,72.6,90.7,8.64
45682,20SS55 625075,71.7,92.1,18.25
45688,20SS55 625075,71.7,93.2,15.73
47757,20SS55 625075,64.0,85.6,21.74
47761,20SS55 625075,70.8,93.3,18.93
47766,20SS55 625075,72.2,93.7,19.7
47769,20SS55 625075,73.1,94.3,18.57
47772,20SS55 625075,69.2,89.9,15.56
47785,20SS55 625075,73.1,95.3,18.79
47788,20SS55 625075,68.0,88.9,22.78
47793,20SS55 625075,70.0,88.5,19.91
47796,20SS55 625075,72.6,91.3,15.84
47847,20SS55 625075,74.4,91.8,20.92
50234,20SS55 625075,58.4,79.1,24.64
50239,20SS55 625075,56.5,78.2,20.99
52080,20SS55 625075,74.6,93.1,16.5
52162,20SS55 625075,64.9,89.5,15.2
54970,20SS55 625075,67.3,90.3,17.34
58727,20SS55 625075,63.8,85.8,20.85
58736,20SS55 625075,63.4,87.4,20.85
58741,20SS55 625075,60.8,82.7,21.69
58744,20SS55 625075,66.8,88.2,17.27
58750,20SS55 625075,62.6,85.3,18.23
58752,20SS55 625075,64.1,87.5,15.85
58758,20SS55 625075,59.4,83.1,25.68
58761,20SS55 625075,60.1,83.8,26.5
58763,20SS55 625075,62.8,84.6,22.27
34724,20SS55 625100,72.8,88.7,19.38
35909,20SS55 625100,64.0,83.6,20.7
54960,20SS55 625100,68.6,88.1,17.19
54962,20SS55 625100,68.8,88.2,21.69
54978,20SS55 625100,74.6,93.8,17.42
58769,20SS55 625100,65.4,91.4,19.29
61478,20SS55 625100,75.0,91.5,19.24
61480,20SS55 625100,70.6,87.1,17.57
62719,20SS55 625100,65.8,84.6,22.13
2551,20SS55 625125,70.8,88.9,18.72
2553,20SS55 625125,70.2,86.3,20.45
2556,20SS55 625125,69.5,85.1,20.96
2559,20SS55 625125,60.2,82.2,22.7
2562,20SS55 625125,62.4,83.5,23.41
2571,20SS55 625125,65.5,85.2,22.62
2599,20SS55 625125,66.1,87.3,20.01
4079,20SS55 625125,56.6,82.3,22.57
8428,20SS55 625125,58.6,79.0,24.55
10576,20SS55 625125,63.8,83.3,21.35
12057,20SS55 625125,58.0,77.7,25.75
12059,20SS55 625125,58.1,79.3,23.57
12066,20SS55 625125,61.3,80.8,22.65
12073,20SS55 625125,61.0,82.4,23.34
17432,20SS55 625125,69.0,86.7,18.75
17437,20SS55 625125,64.8,84.1,24.27
17438,20SS55 625125,65.3,84.8,21.17
17444,20SS55 625125,69.6,87.5,16.43
17446,20SS55 625125,71.1,87.8,17.83
17574,20SS55 625125,55.0,77.7,26.71
17705,20SS55 625125,67.0,86.0,23.37
17710,20SS55 625125,64.5,85.2,23.28
17712,20SS55 625125,64.6,85.7,24.93
19324,20SS55 625125,62.3,82.5,23.99
20461,20SS55 625125,64.8,83.7,24.93
20467,20SS55 625125,62.6,81.5,22.47
21087,20SS55 625125,65.0,82.8,21.84
21089,20SS55 625125,63.5,82.0,19.72
21092,20SS55 625125,67.5,85.1,19.94
21108,20SS55 625125,60.8,81.2,23.84
21111,20SS55 625125,58.8,80.9,26.32
21113,20SS55 625125,63.0,82.7,23.11
21168,20SS55 625125,68.8,87.4,20.75
21174,20SS55 625125,64.9,84.1,22.84
25655,20SS55 625125,62.6,84.0,21.0
25656,20SS55 625125,58.3,79.1,24.58
25658,20SS55 625125,62.7,83.6,22.02
25659,20SS55 625125,63.2,83.7,22.54
25661,20SS55 625125,62.6,81.4,24.33
25670,20SS55 625125,57.0,78.9,28.39
26426,20SS55 625125,70.2,88.7,19.84
26433,20SS55 625125,66.7,84.1,21.08
26434,20SS55 625125,65.1,82.7,23.99
26437,20SS55 625125,63.5,81.9,22.77
30273,20SS55 625125,65.1,85.9,21.24
30280,20SS55 625125,68.2,87.7,17.18
30281,20SS55 625125,66.2,86.1,20.09
30286,20SS55 625125,64.1,82.4,20.98
30291,20SS55 625125,60.4,83.2,23.21
30381,20SS55 625125,63.4,86.6,22.55
30417,20SS55 625125,62.7,81.3,24.4
32327,20SS55 625125,63.7,82.4,23.74
32329,20SS55 625125,68.8,89.5,18.15
33967,20SS55 625125,56.3,78.2,26.88
37833,20SS55 625125,61.1,81.7,24.13
37836,20SS55 625125,60.4,83.8,21.54
37840,20SS55 625125,66.7,87.2,25.0
37841,20SS55 625125,66.1,86.5,20.89
37844,20SS55 625125,65.4,85.0,21.33
37847,20SS55 625125,61.5,81.6,22.42
37850,20SS55 625125,64.7,87.2,20.18
37851,20SS55 625125,66.6,88.2,19.97
42395,20SS55 625125,63.3,81.5,25.24
42403,20SS55 625125,55.7,77.7,27.68
42408,20SS55 625125,69.9,90.0,20.87
42410,20SS55 625125,61.1,81.4,16.85
42418,20SS55 625125,56.6,78.4,21.09
42422,20SS55 625125,60.5,81.9,22.06
42424,20SS55 625125,67.8,87.0,22.1
43069,20SS55 625125,64.8,85.2,20.25
43072,20SS55 625125,68.2,86.9,21.72
43076,20SS55 625125,60.8,81.0,18.87
43081,20SS55 625125,64.8,83.4,22.97
44148,20SS55 625125,60.8,79.1,27.01
44193,20SS55 625125,58.3,80.2,28.93
44197,20SS55 625125,61.7,80.9,25.84
44206,20SS55 625125,61.9,83.6,23.32
44212,20SS55 625125,61.9,82.7,23.97
44214,20SS55 625125,64.6,85.3,20.13
44286,20SS55 625125,65.1,85.8,22.51
44289,20SS55 625125,64.6,84.8,22.85
44295,20SS55 625125,64.3,84.1,22.46
44298,20SS55 625125,66.9,86.4,22.69
44304,20SS55 625125,63.7,85.5,24.25
45800,20SS55 625125,64.7,85.0,23.68
47798,20SS55 625125,66.3,85.3,22.49
47807,20SS55 625125,60.4,81.0,25.39
47811,20SS55 625125,66.7,84.4,19.7
47813,20SS55 625125,68.1,86.1,22.85
47860,20SS55 625125,63.3,84.2,21.82
47866,20SS55 625125,60.5,83.2,25.21
50209,20SS55 625125,57.3,79.9,26.53
52044,20SS55 625125,66.2,86.3,23.94
52046,20SS55 625125,66.1,87.8,20.42
52049,20SS55 625125,69.6,90.6,18.85
52085,20SS55 625125,67.9,87.3,20.0
52147,20SS55 625125,59.8,81.6,16.36
52295,20SS55 625125,63.7,85.1,22.32
52304,20SS55 625125,63.7,83.3,22.47
54982,20SS55 625125,66.6,77.7,24.05
54983,20SS55 625125,67.9,88.0,18.68
54987,20SS55 625125,65.8,84.1,17.83
57554,20SS55 625125,65.5,83.7,24.94
57573,20SS55 625125,68.4,88.2,21.21
57579,20SS55 625125,70.8,90.1,25.05
57582,20SS55 625125,66.6,87.6,20.11
58707,20SS55 625125,57.2,82.3,25.53
61446,20SS55 625125,65.0,84.9,20.36
1307,20SS55 650050,56.4,84.7,17.01
17565,20SS55 650050,68.2,90.4,19.97
17571,20SS55 650050,68.8,91.6,17.67
21131,20SS55 650050,65.0,86.5,23.75
20321,20SS55 650150,52.7,76.3,29.25
20322,20SS55 650150,52.1,71.1,41.42
20326,20SS55 650150,52.6,72.0,37.72
20327,20SS55 650150,53.4,73.6,37.56
20365,20SS55 650150,55.7,80.0,33.48
20398,20SS55 650150,53.5,74.1,35.35
20405,20SS55 650150,51.6,74.9,36.38
20473,20SS55 650150,52.3,71.6,41.02
20474,20SS55 650150,51.8,72.3,39.12
20477,20SS55 650150,49.8,73.8,35.8
20478,20SS55 650150,45.8,71.0,42.26
20482,20SS55 650150,48.3,70.3,39.18
20486,20SS55 650150,49.1,73.1,42.7
20488,20SS55 650150,49.4,73.1,44.29
20491,20SS55 650150,49.5,73.4,43.8
20494,20SS55 650150,49.3,73.7,42.35
20496,20SS55 650150,44.9,68.6,42.62
20500,20SS55 650150,50.5,74.9,34.75
21002,20SS55 650150,46.7,69.5,41.01
21005,20SS55 650150,52.69,74.27,42.0
21006,20SS55 650150,49.9,71.8,38.51
22298,20SS55 650150,47.7,73.8,42.4
22301,20SS55 650150,48.4,74.9,39.15
22302,20SS55 650150,51.9,75.2,38.65
22303,20SS55 650150,49.0,72.9,40.05
23794,20SS55 650150,47.2,72.8,40.93
23795,20SS55 650150,49.6,74.2,41.16
23798,20SS55 650150,48.8,73.5,43.43
23799,20SS55 650150,54.8,81.7,39.05
23802,20SS55 650150,49.6,72.1,42.9
23804,20SS55 650150,50.7,74.6,38.44
23806,20SS55 650150,52.9,76.2,41.6
23809,20SS55 650150,51.3,75.1,32.86
23810,20SS55 650150,50.1,73.8,42.78
23819,20SS55 650150,51.6,74.4,40.48
23822,20SS55 650150,50.2,73.3,44.38
23824,20SS55 650150,52.2,77.3,35.97
23987,20SS55 650150,52.9,75.0,37.45
23994,20SS55 650150,55.6,75.9,33.7
23995,20SS55 650150,52.4,74.2,28.19
25496,20SS55 650150,52.3,72.3,37.03
25497,20SS55 650150,54.7,74.2,35.16
25622,20SS55 650150,49.0,69.9,37.62
25626,20SS55 650150,50.5,75.9,36.26
26498,20SS55 650150,46.9,72.6,34.61
26500,20SS55 650150,48.5,76.6,35.56
26502,20SS55 650150,52.8,77.5,31.75
26503,20SS55 650150,51.2,77.2,31.26
26505,20SS55 650150,54.3,78.3,32.35
26506,20SS55 650150,53.8,78.6,31.25
30212,20SS55 650150,43.8,69.8,38.11
30430,20SS55 650150,48.4,73.9,37.71
37739,20SS55 650175,49.3,71.8,41.72
37742,20SS55 650175,56.4,78.7,40.1
37922,20SS55 650175,48.5,71.3,39.1
37925,20SS55 650175,43.0,68.9,40.52
37928,20SS55 650175,48.8,70.7,41.43
37934,20SS55 650175,48.3,72.2,41.86
37939,20SS55 650175,50.8,73.9,39.66
44129,20SS55 650175,42.4,66.2,41.84
44202,20SS55 650175,50.7,74.6,37.76
44224,20SS55 650175,47.2,70.3,38.0
49978,20SS55 650175,46.4,73.6,38.85
49981,20SS55 650175,48.0,72.4,36.98
51998,20SS55 650175,47.3,69.4,38.74
57525,20SS55 650175,47.8,68.2,39.73
57931,20SS55 650175,53.7,77.6,35.05
57932,20SS55 650175,49.7,72.2,39.18
57933,20SS55 650175,43.8,68.2,31.99
57937,20SS55 650175,48.8,73.8,40.53
57942,20SS55 650175,51.3,75.2,37.69
57945,20SS55 650175,48.4,71.2,37.42
57960,20SS55 650175,47.6,72.5,41.46
57963,20SS55 650175,51.3,73.8,40.65
57966,20SS55 650175,50.8,75.3,35.73
57968,20SS55 650175,47.3,72.4,38.72
57970,20SS55 650175,47.1,71.0,41.74
57972,20SS55 650175,46.8,71.1,39.67
57974,20SS55 650175,43.5,70.6,40.85
57980,20SS55 650175,53.1,74.5,40.14
57996,20SS55 650175,51.9,74.2,42.09
58000,20SS55 650175,54.6,76.9,38.82
58004,20SS55 650175,53.2,75.5,39.16
58670,20SS55 650175,51.7,76.0,39.27
58673,20SS55 650175,52.9,74.4,40.59
58678,20SS55 650175,51.4,73.5,30.59
58681,20SS55 650175,49.0,73.0,40.55
58682,20SS55 650175,50.9,73.8,38.48
58686,20SS55 650175,45.8,73.7,38.59
58690,20SS55 650175,46.2,72.7,42.21
58714,20SS55 650175,53.8,74.6,39.92
58772,20SS55 650175,52.8,77.6,36.64
58773,20SS55 650175,59.6,74.3,36.98
58774,20SS55 650175,51.3,74.9,38.68
61336,20SS55 650175,57.8,75.6,37.76
61337,20SS55 650175,54.1,73.6,37.32
61339,20SS55 650175,54.2,72.4,37.66
61372,20SS55 650175,51.8,75.2,37.72
61373,20SS55 650175,50.7,73.7,41.08
61375,20SS55 650175,49.3,71.3,36.72
61376,20SS55 650175,49.9,70.9,43.44
61378,20SS55 650175,49.7,71.3,42.52
61380,20SS55 650175,51.8,73.2,39.42
61382,20SS55 650175,50.6,72.7,42.5
61386,20SS55 650175,54.9,74.7,41.22
61387,20SS55 650175,52.3,74.6,38.88
61388,20SS55 650175,50.8,73.0,41.12
61389,20SS55 650175,54.0,74.1,40.11
61390,20SS55 650175,54.4,73.5,35.16
61483,20SS55 650175,43.8,71.5,38.38
61486,20SS55 650175,55.1,75.0,41.66
61489,20SS55 650175,53.8,75.6,40.78
61492,20SS55 650175,50.9,75.0,41.38
61496,20SS55 650175,53.4,75.3,40.05
61498,20SS55 650175,53.3,74.8,39.45
65048,20SS55 650175,45.3,70.8,45.82
65062,20SS55 650175,49.9,70.1,40.49
65066,20SS55 650175,49.2,72.3,42.6
65069,20SS55 650175,51.3,73.1,37.88
65070,20SS55 650175,50.7,70.1,40.37
65151,20SS55 650175,51.1,72.8,40.78
65225,20SS55 650175,56.1,75.8,40.44
1376,06T100 550100,85.3,93.1,19.97
1385,06T100 550100,66.4,71.6,26.19
3355,06T100 625175,104.8,106.2,16.83
3356,06T100 625175,108.0,112.0,19.42
3357,06T100 625175,102.1,108.3,17.44
3358,06T100 625175,65.5,74.1,27.04
4266,06T100 625175,100.2,108.0,21.18
4267,06T100 625175,93.7,102.9,19.07
4268,06T100 625175,91.5,98.5,17.58
1478,06-W65 575050,85.3,90.3,21.67
1501,06-W65 575050,82.0,86.9,26.07
1504,06-W65 575050,81.0,85.7,23.33
1511,06-W65 575050,80.1,88.9,16.81
1514,06-W65 575050,81.4,85.7,24.76
1520,06-W65 575050,78.5,84.9,23.22
1523,06-W65 575050,78.6,85.2,24.56
1528,06-W65 575050,80.4,86.4,23.92
1531,06-W65 575050,83.0,89.0,21.6
1539,06-W65 575050,84.8,89.2,21.96
1553,06-W65 575050,85.6,90.9,21.91
1555,06-W65 575050,85.1,90.9,21.31
1557,06-W65 575050,86.1,90.1,22.66
1562,06-W65 575050,86.9,90.2,22.89
2932,06-W65 575050,83.8,87.0,22.09
2935,06-W65 575050,80.2,84.9,27.27
2939,06-W65 575050,80.0,88.0,22.73
2944,06-W65 575050,77.2,85.5,21.9
2946,06-W65 575050,76.5,86.0,24.9
2953,06-W65 575050,78.0,84.7,28.63
2956,06-W65 575050,72.4,82.3,31.26
2963,06-W65 575050,74.9,82.4,26.42
3000,06-W65 575050,85.2,90.2,25.39
3004,06-W65 575050,81.0,88.4,26.28
3170,06-W65 575050,77.4,83.8,27.39
3173,06-W65 575050,78.3,84.1,27.83
3175,06-W65 575050,79.8,83.7,17.0
3179,06-W65 575050,79.0,83.9,24.25
3182,06-W65 575050,81.7,86.7,24.78
3188,06-W65 575050,83.5,87.7,25.78
3191,06-W65 575050,80.2,88.4,23.78
3197,06-W65 575050,80.4,87.4,25.3
3204,06-W65 575050,76.9,83.9,27.7
3255,06-W65 575050,83.5,94.0,19.5
13660,06-W65 575050,84.1,93.2,21.43
13665,06-W65 575050,81.8,90.9,20.84
13668,06-W65 575050,77.7,86.8,20.93
13672,06-W65 575050,77.3,85.8,23.02
13674,06-W65 575050,80.6,89.3,19.69
13676,06-W65 575050,78.5,87.2,23.34
13677,06-W65 575050,81.5,90.7,20.11
13684,06-W65 575050,80.2,87.0,23.34
13685,06-W65 575050,80.0,86.5,22.85
13687,06-W65 575050,79.6,86.8,21.52
19648,06-W65 575050,80.3,87.7,21.72
19658,06-W65 575050,82.4,87.8,24.46
19683,06-W65 575050,78.0,85.6,28.44
19690,06-W65 575050,75.6,84.9,27.43
19694,06-W65 575050,74.6,82.7,26.89
19697,06-W65 575050,76.8,86.6,24.76
19701,06-W65 575050,78.4,86.2,27.17
19707,06-W65 575050,78.9,86.9,27.04
19712,06-W65 575050,82.8,88.3,23.73
19715,06-W65 575050,79.5,85.5,25.82
19721,06-W65 575050,82.0,87.1,23.9
19722,06-W65 575050,80.2,85.5,25.45
19725,06-W65 575050,79.3,85.3,25.89
19729,06-W65 575050,81.0,86.3,26.2
19735,06-W65 575050,80.7,85.2,26.21
19736,06-W65 575050,79.6,89.8,20.56
19741,06-W65 575050,78.5,86.1,24.57
19743,06-W65 575050,79.7,86.1,25.24
19751,06-W65 575050,78.0,86.6,23.5
19755,06-W65 575050,77.8,84.8,26.76
19757,06-W65 575050,79.8,86.3,25.76
19762,06-W65 575050,79.1,86.8,26.96
19766,06-W65 575050,80.9,87.9,25.02
19768,06-W65 575050,78.4,86.5,26.26
19772,06-W65 575050,79.5,86.9,20.71
19773,06-W65 575050,80.1,87.7,25.89
19781,06-W65 575050,82.3,88.2,25.83
19784,06-W65 575050,79.0,86.1,24.85
19792,06-W65 575050,80.0,87.2,25.28
19794,06-W65 575050,79.2,86.7,25.42
19800,06-W65 575050,80.5,87.1,25.84
19802,06-W65 575050,77.7,85.3,23.72
19808,06-W65 575050,79.3,87.7,26.41
19810,06-W65 575050,79.4,86.7,24.76
19817,06-W65 575050,76.2,85.5,29.51
19823,06-W65 575050,72.1,81.8,28.25
29707,06-W65 600050,70.2,84.7,30.0
29708,06-W65 600050,77.3,87.2,22.74
29727,06-W65 600050,76.3,82.8,31.54
40755,06-W65 600050,76.9,87.8,19.66
40761,06-W65 600050,73.1,83.1,32.03
40767,06-W65 600050,77.0,85.6,28.96
40776,06-W65 600050,73.9,84.2,29.35
40780,06-W65 600050,77.6,86.9,22.35
49319,06-W65 600050,71.8,84.4,23.77
49322,06-W65 600050,70.8,83.5,34.74
49323,06-W65 600050,68.6,83.7,34.06
49342,06-W65 600050,73.4,82.8,27.98
49346,06-W65 600050,75.7,81.1,28.22
62916,06-W65 600050,76.5,83.2,32.38
62918,06-W65 600050,75.4,87.1,27.13
62929,06-W65 600050,73.1,81.0,31.47
62945,06-W65 600050,79.9,88.6,20.58
62948,06-W65 600050,81.1,88.5,20.35
29743,06-W65 600100,77.4,88.7,24.93
29745,06-W65 600100,77.9,87.5,24.94
29750,06-W65 600100,78.7,88.1,24.7
29752,06-W65 600100,70.4,79.8,24.54
29876,06-W65 600100,80.0,86.2,26.4
29881,06-W65 600100,79.1,87.0,25.17
29883,06-W65 600100,79.4,87.4,24.81
40782,06-W65 600100,76.2,86.0,25.21
40787,06-W65 600100,78.7,86.3,27.33
40793,06-W65 600100,78.7,86.6,25.88
40803,06-W65 600100,74.8,83.5,25.83
40812,06-W65 600100,76.2,84.0,23.02
40824,06-W65 600100,76.9,87.2,26.09
40836,06-W65 600100,69.8,84.6,27.15
49351,06-W65 600100,71.4,81.3,22.68
62925,06-W65 600100,77.9,82.9,25.99
62927,06-W65 600100,75.1,82.3,22.38
62935,06-W65 600100,78.1,87.1,19.0
62938,06-W65 600100,79.3,84.0,27.79
62941,06-W65 600100,89.8,96.2,19.71
62951,06-W65 600100,79.4,85.9,23.13
62953,06-W65 600100,79.9,87.7,22.8
62957,06-W65 600100,78.7,89.5,22.5
11333,06-V60 575025,62.8,74.5,22.58
15331,06-V60 575025,65.0,78.9,24.88
15348,06-V60 575025,64.3,77.0,22.79
15350,06-V60 575025,68.7,79.8,23.94
15351,06-V60 575025,69.3,81.0,22.68
15354,06-V60 575025,66.5,76.4,22.98
15356,06-V60 575025,70.3,79.1,22.51
15357,06-V60 575025,72.3,80.8,20.75
15360,06-V60 575025,63.1,76.6,25.57
15363,06-V60 575025,67.8,76.5,22.53
15365,06-V60 575025,66.9,76.7,21.93
22124,06-V60 575025,65.1,77.8,36.42
22129,06-V60 575025,62.1,74.4,37.79
22133,06-V60 575025,60.9,73.0,39.03
22137,06-V60 575025,61.6,74.4,37.32
22141,06-V60 575025,65.4,76.0,34.87
22144,06-V60 575025,63.4,73.9,36.08
22148,06-V60 575025,59.6,73.0,37.78
22152,06-V60 575025,64.3,75.5,30.47
24900,06-V60 575025,70.8,80.1,22.21
24903,06-V60 575025,70.9,79.9,22.12
24905,06-V60 575025,68.8,78.5,22.17
26608,06-V60 575025,71.0,81.0,21.93
26656,06-V60 575025,72.8,82.2,22.25
26659,06-V60 575025,73.3,81.8,21.18
26662,06-V60 575025,70.2,79.6,24.48
26663,06-V60 575025,72.0,82.0,20.0
26665,06-V60 575025,71.1,79.6,21.78
37577,06-V60 575025,61.8,73.8,41.23
39131,06-V60 575025,66.7,74.7,39.92
39132,06-V60 575025,61.6,71.8,41.33
44857,06-V60 575025,67.2,74.6,34.32
46137,06-V60 575025,65.1,74.4,28.87
48637,06-V60 575025,66.9,77.5,31.1
50601,06-V60 575025,62.4,78.5,34.34
58873,06-V60 575025,64.8,76.0,35.0
58874,06-V60 575025,65.4,75.2,33.31
61066,06-V60 575025,68.7,76.7,33.5
61084,06-V60 575025,65.6,76.6,34.38
1586,06-V60 575100,63.1,74.1,20.79
1591,06-V60 575100,60.8,72.7,24.72
1592,06-V60 575100,62.4,74.0,23.48
1593,06-V60 575100,64.6,76.1,23.72
1595,06-V60 575100,60.6,72.9,23.43
1601,06-V60 575100,60.6,73.8,23.33
1604,06-V60 575100,60.9,72.5,24.32
1610,06-V60 575100,60.2,72.0,27.62
1616,06-V60 575100,63.9,74.3,23.73
1617,06-V60 575100,62.7,73.1,22.98
1618,06-V60 575100,62.1,73.3,26.05
1619,06-V60 575100,63.4,73.3,22.98
1620,06-V60 575100,62.5,73.9,23.09
1622,06-V60 575100,63.5,74.2,21.1
1628,06-V60 575100,55.8,65.2,22.82
1632,06-V60 575100,61.0,71.3,28.38
1637,06-V60 575100,61.8,73.2,22.89
1646,06-V60 575100,56.9,66.7,26.08
1650,06-V60 575100,61.0,70.2,24.14
1659,06-V60 575100,61.8,72.7,23.88
3093,06-V60 575100,60.8,70.8,27.59
3095,06-V60 575100,60.5,71.6,24.57
3098,06-V60 575100,58.2,70.3,24.71
3105,06-V60 575100,58.6,70.9,27.12
3107,06-V60 575100,57.6,70.3,26.57
3108,06-V60 575100,56.7,69.5,26.05
3109,06-V60 575100,59.7,70.8,24.98
3110,06-V60 575100,59.4,71.3,28.02
3111,06-V60 575100,58.1,70.5,25.35
3112,06-V60 575100,59.1,69.8,27.46
4307,06-V60 575100,57.0,69.2,24.45
4308,06-V60 575100,55.3,68.3,26.12
4324,06-V60 575100,57.0,70.4,23.07
4327,06-V60 575100,60.3,71.1,24.65
9196,06-V60 575100,61.5,72.4,24.59
9199,06-V60 575100,60.5,73.0,22.76
9202,06-V60 575100,60.8,72.5,24.57
9204,06-V60 575100,60.3,72.8,22.6
9208,06-V60 575100,58.9,72.2,24.23
9212,06-V60 575100,60.0,72.9,23.76
9213,06-V60 575100,59.8,72.7,23.87
9218,06-V60 575100,56.9,70.9,23.24
9220,06-V60 575100,60.5,72.8,18.37
9224,06-V60 575100,59.8,73.7,21.22
9230,06-V60 575100,56.4,71.8,23.88
9240,06-V60 575100,63.9,72.4,20.89
9245,06-V60 575100,63.4,71.6,24.14
9246,06-V60 575100,62.3,71.9,24.49
9988,06-V60 575100,59.9,71.6,23.09
9991,06-V60 575100,60.8,72.8,26.36
9997,06-V60 575100,61.0,72.6,27.03
9999,06-V60 575100,61.9,73.6,26.16
10005,06-V60 575100,61.6,73.4,26.21
10034,06-V60 575100,58.6,71.9,24.45
10035,06-V60 575100,57.1,70.7,26.18
10043,06-V60 575100,58.5,71.6,24.57
10051,06-V60 575100,60.2,72.7,19.56
10071,06-V60 575100,58.3,70.7,22.62
10074,06-V60 575100,58.1,70.7,27.89
11384,06-V60 575100,59.6,73.1,21.96
11387,06-V60 575100,58.9,71.3,23.05
11393,06-V60 575100,60.8,72.4,25.11
11399,06-V60 575100,60.3,72.5,24.49
11401,06-V60 575100,58.1,70.5,24.81
15316,06-V60 575100,64.9,77.4,25.09
15317,06-V60 575100,68.0,77.3,22.51
15320,06-V60 575100,64.6,77.7,24.1
15340,06-V60 575100,64.84,75.75,24.63
21850,06-V60 575100,62.4,73.3,28.18
21856,06-V60 575100,66.7,76.8,26.83
21859,06-V60 575100,76.4,84.5,24.14
21863,06-V60 575100,74.8,83.1,23.2
21970,06-V60 575100,66.1,76.5,25.55
21973,06-V60 575100,66.8,76.2,27.25
21977,06-V60 575100,65.2,74.8,23.7
21983,06-V60 575100,65.1,75.4,26.39
21986,06-V60 575100,66.4,76.4,26.25
21990,06-V60 575100,67.3,76.9,26.0
21996,06-V60 575100,66.1,76.2,22.73
21999,06-V60 575100,61.9,74.4,26.08
22002,06-V60 575100,62.2,73.4,26.11
22007,06-V60 575100,61.3,72.5,27.53
22011,06-V60 575100,69.0,78.7,24.92
22017,06-V60 575100,65.2,77.0,24.55
22020,06-V60 575100,64.1,74.6,25.49
22026,06-V60 575100,65.2,74.1,27.87
22029,06-V60 575100,66.7,75.9,26.09
22035,06-V60 575100,64.3,75.4,24.12
22037,06-V60 575100,64.0,74.1,26.79
22043,06-V60 575100,64.5,75.8,25.06
22045,06-V60 575100,68.3,76.9,24.87
22049,06-V60 575100,68.4,77.5,25.24
22054,06-V60 575100,66.7,75.9,25.51
22059,06-V60 575100,63.6,75.5,25.02
22063,06-V60 575100,65.6,75.0,26.09
22071,06-V60 575100,66.1,77.1,24.75
22075,06-V60 575100,66.0,77.8,23.75
22088,06-V60 575100,65.5,74.5,26.58
22097,06-V60 575100,64.9,75.2,25.51
22263,06-V60 575100,64.4,74.5,26.79
22264,06-V60 575100,65.3,74.2,27.22
22269,06-V60 575100,64.0,74.6,26.53
22271,06-V60 575100,62.8,74.1,27.03
22281,06-V60 575100,66.4,77.6,26.37
24832,06-V60 575100,66.6,76.2,26.97
24836,06-V60 575100,64.1,74.1,25.9
24837,06-V60 575100,66.7,75.4,25.74
24841,06-V60 575100,68.7,77.8,25.41
24849,06-V60 575100,66.0,75.7,25.01
24850,06-V60 575100,66.0,74.7,25.94
24873,06-V60 575100,71.0,79.4,22.98
24879,06-V60 575100,68.2,77.6,24.03
24881,06-V60 575100,73.0,81.5,23.51
24884,06-V60 575100,71.2,80.0,23.0
